AAIC,  3.7000,  Real Estate,  REIT—Mortgage
RESN,  7.55,  Technology,  Semiconductors
RFIL,  6.15,  Industrials,  Electrical Equipment & Parts
RFP,  8.11,  Basic Materials,  Paper & Paper Products
RGLS,  1.6000,  Healthcare,  Biotechnology
RIG,  3.5400,  Energy,  Oil & Gas Drilling
RIGL,  4.8000,  Healthcare,  Biotechnology
RKDA,  3.2500,  Basic Materials,  Agricultural Inputs
RLH,  3.4200,  Consumer Cyclical,  Lodging
RMNI,  8.05,  Technology,  Software—Application
RMTI,  1.4400,  Healthcare,  Drug Manufacturers—Specialty & Generic
RNWK,  3.0250,  Communication Services,  Electronic Gaming & Multimedia
RPAI,  9.64,  Real Estate,  REIT—Retail
RPT,  9.70,  Real Estate,  REIT—Retail
RRC,  9.55,  Energy,  Oil & Gas E&P
RRD,  2.4500,  Industrials,  Specialty Business Services
RVSB,  5.62,  Financial Services,  Banks—Regional
RWT,  9.44,  Real Estate,  REIT—Mortgage
RYAM,  8.73,  Basic Materials,  Chemicals
RYB,  3.6399,  Consumer Defensive,  Education & Training Services
SAN,  3.3500,  Financial Services,  Banks—Diversified
SAND,  6.30,  Basic Materials,  Gold
SANW,  3.6500,  Consumer Defensive,  Farm Products
SB,  2.1800,  Industrials,  Marine Shipping
SBBP,  3.1000,  Healthcare,  Biotechnology
SBS,  7.51,  Utilities,  Utilities—Regulated Water
SCOR,  4.2900,  Communication Services,  Advertising Agencies
SCYX,  9.34,  Healthcare,  Drug Manufacturers—Specialty & Generic
SD,  4.8800,  Energy,  Oil & Gas E&P
SEAC,  1.3400,  Technology,  Software—Application
SECO,  2.8400,  Consumer Cyclical,  Internet Retail
SELB,  5.1400,  Healthcare,  Biotechnology
SESN,  2.4100,  Healthcare,  Biotechnology
SFE,  7.60,  Financial Services,  Asset Management
SFL,  6.84,  Industrials,  Marine Shipping
SFT,  8.31,  Consumer Cyclical,  Internet Retail
SGU,  9.87,  Energy,  Oil & Gas Midstream
SID,  5.82,  Basic Materials,  Steel
SIEB,  5.65,  Financial Services,  Capital Markets
SIEN,  5.98,  Healthcare,  Medical Devices
SIFY,  2.9800,  Communication Services,  Telecom Services
SIGA,  6.83,  Healthcare,  Biotechnology
SIRI,  6.14,  Communication Services,  Broadcasting
SJT,  3.8000,  Energy,  Oil & Gas E&P
SLCA,  9.49,  Energy,  Oil & Gas Equipment & Services
SLDB,  8.00,  Healthcare,  Drug Manufacturers—Specialty & Generic
SLNO,  2.7100,  Healthcare,  Diagnostics & Research
SMFG,  6.52,  Financial Services,  Banks—Diversified
SMHI,  3.4300,  Industrials,  Marine Shipping
SMMT,  9.41,  Healthcare,  Biotechnology
SMSI,  7.99,  Technology,  Software—Application
SMTX,  5.87,  Technology,  Electronic Components
SNCR,  4.83,  Technology,  Software—Application
SND,  2.0700,  Energy,  Oil & Gas Equipment & Services
SNDL,  1.1500,  Healthcare,  Drug Manufacturers—Specialty & Generic
SNR,  5.72,  Real Estate,  REIT—Residential
SNSS,  3.0700,  Healthcare,  Biotechnology
SOGO,  8.32,  Communication Services,  Internet Content & Information
SOLO,  8.82,  Consumer Cyclical,  Auto Manufacturers
SOS,  3.9800,  Technology,  Software—Infrastructure
SPPI,  3.9700,  Healthcare,  Biotechnology
SPRT,  2.4900,  Technology,  Software—Application
SRAX,  4.77,  Communication Services,  Advertising Agencies
SRET,  9.20,  , 
SREV,  1.6900,  Technology,  Software—Application
SRGA,  2.9073,  Healthcare,  Medical Devices
SRT,  8.78,  Industrials,  Specialty Business Services
STCN,  1.9300,  Industrials,  Conglomerates
STON,  3.1300,  Consumer Cyclical,  Personal Services
SUPV,  1.8600,  Financial Services,  Banks—Regional
SVRA,  2.0000,  Healthcare,  Biotechnology
SVVC,  6.40,  Financial Services,  Asset Management
SWN,  4.1400,  Energy,  Oil & Gas E&P
SXC,  5.73,  Basic Materials,  Coking Coal
SYBX,  4.2400,  Healthcare,  Biotechnology
SYNC,  2.0900,  Technology,  Software—Infrastructure
SYNL,  8.11,  Basic Materials,  Steel
TACT,  8.62,  Technology,  Computer Hardware
TALO,  9.35,  Energy,  Oil & Gas E&P
TAST,  6.88,  Consumer Cyclical,  Restaurants
TCDA,  7.40,  Healthcare,  Drug Manufacturers—Specialty & Generic
TEF,  4.6200,  Communication Services,  Telecom Services
TELL,  3.3900,  Energy,  Oil & Gas E&P
TEO,  6.62,  Communication Services,  Telecom Services
TGS,  5.09,  Energy,  Oil & Gas Midstream
TK,  2.7300,  Energy,  Oil & Gas Midstream
TKC,  5.85,  Communication Services,  Telecom Services
TLMD,  7.94,  Healthcare,  Medical Care Facilities
TLSA,  4.0800,  Healthcare,  Biotechnology
TMST,  5.49,  Basic Materials,  Steel
TNAV,  4.7800,  Technology,  Software—Application
TNP,  8.87,  Energy,  Oil & Gas Midstream
TOUR,  2.8000,  Consumer Cyclical,  Travel Services
TPRE,  9.87,  Financial Services,  Insurance—Reinsurance
TREC,  7.17,  Basic Materials,  Specialty Chemicals
TRIB,  5.86,  Healthcare,  Diagnostics & Research
TRST,  6.55,  Financial Services,  Banks—Regional
TRUE,  5.00,  Communication Services,  Internet Content & Information
TRVG,  2.6600,  Communication Services,  Internet Content & Information
TRVN,  2.6600,  Healthcare,  Biotechnology
TTI,  2.2000,  Energy,  Oil & Gas Equipment & Services
TTNP,  3.7500,  Healthcare,  Biotechnology
TTOO,  3.2500,  Healthcare,  Diagnostics & Research
TURN,  6.90,  Financial Services,  Asset Management
TUSK,  4.5100,  Energy,  Oil & Gas Equipment & Services
TV,  8.13,  Communication Services,  Broadcasting
TWI,  7.50,  Industrials,  Farm & Heavy Construction Machinery
TWIN,  8.60,  Industrials,  Specialty Industrial Machinery
TWO,  6.27,  Real Estate,  REIT—Mortgage
TXMD,  2.2370,  Healthcare,  Drug Manufacturers—Specialty & Generic
TYME,  2.4700,  Healthcare,  Biotechnology
Ticker,  Price,  Sector,  Industry
Ticker,  Price,  Sector,  Industry
UBX,  8.10,  Healthcare,  Biotechnology
UEPS,  4.6835,  Technology,  Software—Infrastructure
UGP,  4.4000,  Energy,  Oil & Gas Refining & Marketing
UIHC,  5.59,  Financial Services,  Insurance—Property & Casualty
ULBI,  6.61,  Industrials,  Specialty Industrial Machinery
UMC,  9.53,  Technology,  Semiconductors
USAT,  9.78,  Technology,  Software—Infrastructure
USX,  8.51,  Industrials,  Trucking
UTI,  6.51,  Consumer Defensive,  Education & Training Services
UTSI,  2.0600,  Technology,  Communication Equipment
UXIN,  1.4700,  Communication Services,  Internet Content & Information
VBIV,  3.8951,  Healthcare,  Biotechnology
VBLT,  2.5000,  Healthcare,  Biotechnology
VCNX,  3.1600,  Healthcare,  Biotechnology
VEDL,  9.70,  Basic Materials,  Other Industrial Metals & Mining
VEON,  1.6900,  Communication Services,  Telecom Services
VET,  5.0200,  Energy,  Oil & Gas E&P
VHC,  6.75,  Technology,  Software—Infrastructure
VIV,  8.99,  Communication Services,  Telecom Services
VKTX,  9.67,  Healthcare,  Biotechnology
VNTR,  4.1100,  Basic Materials,  Specialty Chemicals
VOC,  2.7100,  Energy,  Oil & Gas E&P
VRA,  9.08,  Consumer Cyclical,  Footwear & Accessories
VRAY,  5.10,  Healthcare,  Medical Devices
VRNA,  8.62,  Healthcare,  Biotechnology
VSTM,  2.3800,  Healthcare,  Biotechnology
VTNR,  2.0750,  Energy,  Oil & Gas Refining & Marketing
VXRT,  8.12,  Healthcare,  Biotechnology
VYGR,  7.55,  Healthcare,  Biotechnology
WATT,  3.9800,  Technology,  Scientific & Technical Instruments
WETF,  5.49,  Financial Services,  Asset Management
WIT,  6.43,  Technology,  Information Technology Services
WMC,  3.0800,  Real Estate,  REIT—Mortgage
WNEB,  7.16,  Financial Services,  Banks—Regional
WPX,  9.11,  , 
WSR,  8.35,  Real Estate,  REIT—Retail
WTI,  2.7200,  Energy,  Oil & Gas E&P
WTRH,  4.0300,  Technology,  Software—Application
WTTR,  6.09,  Energy,  Oil & Gas Equipment & Services
WWR,  9.42,  Basic Materials,  Other Industrial Metals & Mining
XAIR,  6.50,  Healthcare,  Medical Devices
XAN,  3.9400,  Real Estate,  REIT—Mortgage
XERS,  7.34,  Healthcare,  Biotechnology
XIN,  2.3800,  Real Estate,  Real Estate—Development
XNET,  5.87,  Communication Services,  Advertising Agencies
XSPA,  2.1983,  Consumer Cyclical,  Personal Services
YPF,  4.2900,  Energy,  Oil & Gas Integrated
YRCW,  5.46,  Industrials,  Trucking
YRD,  4.1200,  Financial Services,  Credit Services
ZAGG,  4.2600,  Consumer Cyclical,  Specialty Retail
ZIOP,  5.22,  Healthcare,  Biotechnology
ZIXI,  9.84,  Technology,  Software—Infrastructure
ZVO,  5.63,  Consumer Defensive,  Education & Training Services
ZYNE,  5.38,  Healthcare,  Drug Manufacturers—Specialty & Generic
